osm_id,place_type,name_default,name_ar,name_en,name_fr,lat,lon
13194313177,village,حاكور,حاكور,Hakour,Hakour,34.5257399,36.055761
13267638321,village,تاشع,تاشع,Tachaa,Tachaa,34.4978918,36.1869907
13283951887,village,Tannourine El Tahta,,Tannourine El Tahta,Tannourine El Tahta,34.2109742,35.8750186
13288896667,neighbourhood,Taamir Al Hara,,Taamir Al Hara,,33.5539948,35.3984244
13291526402,village,قاسمية,قاسمية,Qasmiye,Qasmiye,33.3278756,35.2522617
13321742669,suburb,الضاحية الجنوبية,الضاحية الجنوبية,Dahieh,Banlieue sud de Beyrouth,33.8452574,35.5070506
13364185541,village,اللويزة,اللويزة,Lwaiza,Lwaiza,33.4612711,35.5360923
13372109764,village,عبرا الضيعة,,,,33.566323,35.4063115
13423750112,village,بيت صليبي,بيت صليبي,Beit Slaybi,,33.9720481,35.9853709
13482841217,locality,تلة مار جريوس,تلة مار جريوس,,,34.3034862,35.8715686
13484108605,neighbourhood,تل البيضاء,تل البيضاء,Tal Al Bayda,,33.5680995,35.3959777
13525288070,hamlet,البغلة,البغلة,,,34.0053381,36.0176737
13527060448,village,حكر إطي,حكر إطي,Hokr Etti,Hokr Etti,34.5758253,36.1041105
13532804083,village,سعدنايا,سعدنايا,Saidnaya,Saidnaya,34.5908062,36.1221242
13606660873,neighbourhood,حي البراد,حي البراد,Hay El Barad,,33.5671852,35.3789879
13606660874,neighbourhood,البستان الكبير,البستان الكبير,Bestein El Kbir,,33.5732953,35.3824904
13646048645,neighbourhood,ست نفيسة,,,,33.5597258,35.3775467
13646048646,neighbourhood,دلاعة,,,,33.5578211,35.3776401
13788942703,village,مطرية الشومر,مطرية الشومر,Matariyet el Choumar,,33.3387884,35.2822064
13878422701,hamlet,Mazraat Ed Douair,,Mazraat Ed Douair,Mazraat Ed Douair,33.7084903,35.6054556
13897443487,village,Houra,,Houra,Houra,33.2941533,35.5638492
13919533613,village,Aartez,,,,34.2334799,35.7536093
34312765,neighbourhood,رملة البيضاء,رملة البيضاء,Ramlet El-Baydaa,Ramlet El-Baydaa,33.8789061,35.4821474
94157391,locality,حرش تابت,حرش تابت,Harsh Tabet,Harch Tabet,33.8861993,35.5756171
94819086,locality,حرش الرويس,حرش الرويس,Horch er Rouaiss,Horch er Rouaiss,33.4533672,35.45463
303756766,neighbourhood,مرتفعات كورى,مرتفعات كورى,Koura Hills,,34.3268483,35.7895682
307467822,locality,النافعة,النافعة,Nafaa,Nafaa,33.8792446,35.546339
612197895,village,عنَايا,عنَايا,Aannaya,Aannaya,34.1164679,35.7536209
997991281,neighbourhood,موقف,موقف,,,33.4532959,35.2846381
1007449594,neighbourhood,حديقة,حديقة,,Jardin,33.4493467,35.3028353
1007449595,neighbourhood,دغيلي,,,,33.4491628,35.3033352
1007449598,neighbourhood,الخاج,,,,33.4499544,35.3034789
1007449599,neighbourhood,خليفة,,,,33.4501885,35.3035388
1007449605,neighbourhood,منانا,منانا,,,33.4639491,35.296615
1358373251,hamlet,حي الراهبات,حي الراهبات,Al Rahibbat,,33.3829211,35.4860733
1360611210,hamlet,حي المسلخ,حي المسلخ,Maslakh,Maslakh,33.3760165,35.4915024
316552,governorate,محافظة بيروت,محافظة بيروت,Beirut Governorate,Gouvernorat de Beyrouth,33.8892218,35.504694
318161,governorate,محافظة الشمال,محافظة الشمال,North Governorate,Gouvernorat du Liban Nord,34.3318174,35.9189789
318174,governorate,محافظة البقاع,محافظة البقاع,Beqaa Governorate,Gouvernorat de la Beqaa,33.6739,35.8562699
318194,governorate,محافظة جبل لبنان,محافظة جبل لبنان,Mount Lebanon Governorate,Gouvernorat du Mont Liban,33.7370087,35.6428706
318236,governorate,محافظة الجنوب,محافظة الجنوب,South Governorate,Gouvernorat du Liban Sud,33.338723,35.3708915
318309,governorate,محافظة النبطية,محافظة النبطية,Nabatieh Governorate,Gouvernorat de Nabatieh,33.2835993,35.5663165
7231014,governorate,محافظة عكار,محافظة عكار,Akkar Governorate,Gouvernorat de l'Akkar,34.5556015,36.209718
7231015,governorate,محافظة بعلبك الهرمل,محافظة بعلبك الهرمل,Baalbek-Hermel Governorate,Gouvernorat de Baalbek-Hermel,34.1709555,36.2532923
12903506,governorate,محافظة كسروان جبيل,محافظة كسروان جبيل,Keserwan-Jbeil Governorate,Gouvernorat de Kesrouan-Jbeil,34.0769589,35.8038379
